CF;total Mn conc;total Cl conc;pH;Mn+2;MnBr+;MnCO3 (aq);MnCl+;MnCl2 (aq);MnCl3-;MnF+;MnHCO3+;MnOH+;MnSO4 (aq)
1;1,23E-08;0,5495;8,296;7,9322E-09;2,777E-12;1,2412E-09;1,1266E-09;4,5994E-10;6,9502E-11;2,5708E-12;8,241E-11;1,5571E-11;1,3672E-09
1,25;1,54E-08;0,686875;8,249;9,1048E-09;4,2144E-12;1,6059E-09;1,6661E-09;8,2952E-10;1,5685E-10;3,5633E-12;1,2045E-10;1,6713E-11;1,867E-09
1,5;1,85E-08;0,82425;8,209;9,9629E-09;5,9203E-12;1,9711E-09;2,2826E-09;1,3414E-09;3,044E-10;4,615E-12;1,6331E-10;1,749E-11;2,3966E-09
1,75;2,15E-08;0,961625;8,175;1,053E-08;7,8562E-12;2,3279E-09;2,956E-09;2,0039E-09;5,3015E-10;5,6916E-12;2,0954E-10;1,8004E-11;2,9368E-09
2;2,46E-08;1,099;8,146;1,0838E-08;9,9737E-12;2,6688E-09;3,6649E-09;2,8172E-09;8,5062E-10;6,7615E-12;2,5766E-10;1,8287E-11;3,4696E-09
2,25;2,77E-08;1,236375;8,121;1,0923E-08;1,2219E-11;2,9873E-09;4,3875E-09;3,7736E-09;1,2793E-09;7,7976E-12;3,0621E-10;1,8367E-11;3,9797E-09
2,5;3,08E-08;1,37375;8,099;1,0825E-08;1,454E-11;3,2794E-09;5,1054E-09;4,8609E-09;1,8267E-09;8,7794E-12;3,54E-10;1,8274E-11;4,4565E-09
2,75;3,38E-08;1,511125;8,079;1,0583E-08;1,6889E-11;3,5422E-09;5,802E-09;6,0617E-09;2,499E-09;9,6911E-12;3,9997E-10;1,8037E-11;4,8919E-09
3;3,69E-08;1,6485;8,062;1,0232E-08;1,9222E-11;3,7745E-09;6,4646E-09;7,3571E-09;3,299E-09;1,0523E-11;4,4335E-10;1,7683E-11;5,2813E-09
3,25;4,00E-08;1,785875;8,046;9,803E-09;2,1505E-11;3,9762E-09;7,0841E-09;8,7274E-09;4,226E-09;1,1269E-11;4,8361E-10;1,7239E-11;5,623E-09
3,5;4,31E-08;1,92325;8,032;9,3235E-09;2,3711E-11;4,1485E-09;7,6547E-09;1,0154E-08;5,2771E-09;1,1929E-11;5,2043E-10;1,6728E-11;5,9174E-09
3,75;4,61E-08;2,060625;8,019;8,8151E-09;2,5821E-11;4,293E-09;8,1732E-09;1,1619E-08;6,4472E-09;1,2504E-11;5,5366E-10;1,6169E-11;6,1665E-09
4;4,92E-08;2,198;8,008;8,2956E-09;2,7825E-11;4,4122E-09;8,6396E-09;1,3109E-08;7,731E-09;1,2999E-11;5,8335E-10;1,5581E-11;6,3738E-09
4,25;5,23E-08;2,335375;7,997;7,7771E-09;2,9712E-11;4,508E-09;9,0534E-09;1,4608E-08;9,1197E-09;1,3417E-11;6,0952E-10;1,4977E-11;6,5421E-09
4,5;5,54E-08;2,47275;7,987;7,2699E-09;3,148E-11;4,5831E-09;9,4175E-09;1,6107E-08;1,0606E-08;1,3767E-11;6,3238E-10;1,4368E-11;6,6757E-09
4,75;5,84E-08;2,610125;7,978;6,7807E-09;3,313E-11;4,6399E-09;9,7345E-09;1,7596E-08;1,2184E-08;1,4054E-11;6,5216E-10;1,3764E-11;6,7787E-09
5;6,15E-08;2,7475;7,969;6,3141E-09;3,4666E-11;4,6807E-09;1,0008E-08;1,9069E-08;1,3844E-08;1,4285E-11;6,6909E-10;1,3171E-11;6,8547E-09
5,25;6,46E-08;2,884875;7,961;5,8728E-09;3,6091E-11;4,7077E-09;1,0242E-08;2,052E-08;1,5581E-08;1,4466E-11;6,8343E-10;1,2593E-11;6,9074E-09
5,5;6,77E-08;3,02225;7,954;5,4582E-09;3,7413E-11;4,7227E-09;1,0439E-08;2,1946E-08;1,7388E-08;1,4604E-11;6,9543E-10;1,2036E-11;6,94E-09
5,75;7,07E-08;3,159625;7,947;5,0707E-09;3,8637E-11;4,7276E-09;1,0604E-08;2,3343E-08;1,9258E-08;1,4702E-11;7,0534E-10;1,1499E-11;6,9555E-09
6;7,38E-08;3,297;7,941;4,71E-09;3,9769E-11;4,7239E-09;1,0739E-08;2,471E-08;2,1187E-08;1,4768E-11;7,1337E-10;1,0986E-11;6,9564E-09
6,25;7,69E-08;3,434375;7,935;4,3752E-09;4,0817E-11;4,7129E-09;1,0848E-08;2,6045E-08;2,3169E-08;1,4804E-11;7,1974E-10;1,0497E-11;6,9452E-09
6,5;8,00E-08;3,57175;7,929;4,065E-09;4,1783E-11;4,6955E-09;1,0933E-08;2,7345E-08;2,5195E-08;1,4815E-11;7,2459E-10;1,0031E-11;6,9233E-09
6,75;8,30E-08;3,709125;7,923;3,7784E-09;4,2681E-11;4,6733E-09;1,0998E-08;2,8615E-08;2,7269E-08;1,4804E-11;7,2819E-10;9,5892E-12;6,8933E-09
7;8,61E-08;3,8465;7,918;3,5139E-09;4,3512E-11;4,6468E-09;1,1045E-08;2,9853E-08;2,9384E-08;1,4775E-11;7,3065E-10;9,1701E-12;6,8562E-09
